Index,Acousticness
1,0.127
2,0.0383
3,0.335
4,0.0469
5,0.0203
6,0.297
7,0.235
8,0.31
9,0.276
10,0.00165
11,0.00883
12,0.0261
13,0.00544
14,0.321
15,0.00323
16,0.691
17,0.584
18,0.0215
19,0.114
20,0.304
21,0.207
22,0.506
23,0.768
24,0.44
25,0.00146
26,0.765
27,0.00776
28,0.0904
29,0.0076
30,0.175
31,0.182
32,0.0492
33,0.866
34,0.163
35,0.122
37,0.41
38,0.0164
39,0.165
40,0.401
41,0.161
42,0.198
43,0.102
44,0.0112
45,0.414
46,0.216
47,0.174
48,0.494
49,0.398
50,0.217
51,0.0913
52,0.282
53,0.341
54,0.00201
55,0.00226
56,3.84e-05
57,0.369
58,0.675
59,0.0377
60,0.326
61,0.0133
62,0.194
63,0.0311
64,0.0215
65,0.524
66,0.0123
67,0.00772
68,0.0495
69,0.138
70,0.751
71,0.0493
72,0.492
73,0.256
74,0.222
75,0.00214
76,0.00138
77,0.112
78,0.656
79,0.407
80,0.692
81,0.213
82,0.0618
83,0.00936
84,0.00173
85,0.418
86,0.168
87,0.0142
88,0.131
89,0.159
90,0.818
91,0.348
92,0.468
93,0.192
94,0.398
95,0.305
96,0.025
97,0.0888
98,0.0021
99,0.313
100,0.604
101,0.00883
102,0.807
103,0.281
104,0.0622
105,0.256
106,0.512
107,0.0143
108,0.192
109,0.256
110,0.441
111,0.934
112,0.556
113,0.828
114,0.21
115,0.0514
116,0.18
117,0.581
118,0.037
119,0.0106
120,0.163
121,0.112
122,0.0303
123,0.247
124,0.584
125,0.785
126,0.0166
127,0.431
128,2.55e-05
129,0.753
130,0.0678
131,0.402
132,0.0144
133,0.841
134,0.695
135,0.499
136,0.634
137,0.0833
138,0.108
139,0.0012
140,0.105
141,0.0807
142,0.288
143,0.122
144,0.0689
145,0.418
146,0.0821
147,0.127
148,0.371
149,0.103
150,0.427
151,0.0654
152,0.00239
153,0.467
154,0.423
155,0.0038
156,0.607
157,0.0358
158,0.65
159,0.634
160,0.129
161,0.161
162,0.349
163,0.451
165,0.328
166,0.0599
167,0.114
168,0.941
169,0.0194
170,0.00101
171,0.543
172,0.0644
173,0.695
174,0.0249
175,0.526
176,0.336
177,0.731
178,0.141
179,0.112
180,0.00776
181,0.0237
182,0.441
183,0.114
184,0.584
185,0.922
186,0.345
187,0.212
188,0.00302
189,0.0671
190,0.499
191,0.0151
192,0.237
193,0.592
194,0.336
195,0.14
196,0.223
197,0.775
198,0.343
199,0.28
200,0.0302
201,0.251
202,0.359
203,0.185
204,0.46
205,0.0332
206,0.152
207,0.135
208,0.256
209,0.269
210,0.132
211,0.21
212,0.106
213,0.399
214,0.00273
215,0.177
216,0.705
217,0.0629
218,0.148
219,0.586
220,0.116
221,0.00209
222,0.0319
223,0.00691
224,0.165
225,0.0215
226,0.333
227,0.388
228,0.3
229,0.0474
230,0.199
231,0.395
232,0.396
233,0.288
234,0.532
235,0.328
236,0.414
237,0.000509
238,0.0694
239,0.222
240,0.435
241,0.0195
242,0.733
243,0.000866
244,0.13
245,0.266
246,0.932
247,0.0113
248,0.2
249,0.556
250,0.0103
251,0.0319
252,0.176
253,0.028
254,0.241
255,0.186
256,0.122
257,0.155
258,0.601
259,0.169
260,0.333
261,0.314
262,0.329
263,0.565
264,0.121
265,0.315
266,0.0451
267,0.044
268,0.374
269,0.0312
270,0.0366
271,0.126
272,0.016
273,0.00536
274,0.234
275,0.102
276,0.362
277,0.282
278,0.0597
279,0.104
280,0.0622
281,0.469
282,0.135
283,0.104
284,0.0441
285,0.0291
286,0.181
287,0.00473
288,0.0151
289,0.0546
290,0.167
291,0.244
292,0.248
293,0.39
294,0.00958
295,0.301
296,0.00513
297,0.0498
298,0.0592
299,0.0318
300,0.146
301,0.0326
302,0.223
303,0.0985
304,0.0697
305,0.514
306,0.0206
307,0.391
308,0.173
309,0.218
310,0.234
311,0.78
312,0.00711
313,0.0837
314,0.331
315,0.021
316,0.138
317,0.235
318,0.138
319,0.0558
320,0.127
321,0.0224
322,0.0392
323,0.18
324,0.21
325,0.0299
326,0.212
327,0.00151
328,0.0525
329,0.0254
330,0.0769
331,0.123
332,0.0923
333,0.551
334,0.145
335,0.207
336,0.591
337,0.196
338,0.359
339,0.0617
340,0.000178
341,0.296
342,0.773
343,0.000818
344,0.00396
345,0.271
346,0.0853
347,0.00254
348,0.05
349,0.0825
350,0.506
351,0.0136
352,0.492
353,0.00167
354,0.81
355,0.0802
356,0.195
357,0.0141
358,0.306
359,0.0814
360,0.334
361,0.197
362,0.0526
363,0.126
364,0.0622
365,0.173
366,0.354
367,0.0513
368,0.000219
369,0.839
370,0.348
371,0.573
372,0.0613
373,0.864
374,0.237
375,0.866
376,0.00196
377,0.21
378,0.901
379,0.059
380,0.368
381,0.12
382,0.777
383,0.0706
384,0.0289
385,0.00336
386,0.293
387,0.462
388,0.397
389,0.0172
390,0.328
391,0.322
392,0.524
393,0.00306
394,0.00581
395,0.057
396,0.24
397,0.0112
398,0.0174
399,0.162
400,0.979
401,0.0751
402,0.22
403,0.151
404,0.415
405,0.31
406,0.127
407,0.604
408,0.418
409,0.0563
410,0.615
411,0.701
412,0.0676
413,0.00285
414,0.258
415,0.0723
416,0.125
417,0.932
418,0.0433
419,0.0462
420,0.017
421,0.00949
422,0.13
423,0.23
424,0.302
425,0.833
426,0.0483
427,0.698
428,0.152
429,0.0623
430,0.0122
431,0.0135
432,0.116
433,0.0033
434,0.818
435,0.106
436,0.369
437,0.0231
438,0.156
439,0.0564
440,0.225
441,0.0222
442,0.0538
443,0.0847
444,0.0337
445,0.514
446,0.849
447,0.345
448,0.273
449,0.594
450,0.158
451,0.0187
452,0.289
453,0.0332
454,0.737
455,0.223
456,0.00475
457,0.242
458,0.0396
459,0.0136
460,0.185
461,0.92
462,0.0631
463,0.018
464,0.487
466,0.0625
467,0.0314
468,0.593
469,0.295
470,0.139
471,0.0696
472,0.288
473,0.103
474,0.242
475,0.105
476,0.00196
477,0.141
478,0.0882
479,0.663
480,0.0652
481,0.00249
482,0.926
483,0.0105
484,0.877
485,0.422
486,0.105
487,0.167
488,0.702
489,0.0581
490,0.101
491,0.00251
492,0.0206
493,0.483
494,0.00558
495,0.269
496,0.286
497,0.264
498,0.661
499,0.0115
500,0.428
501,0.487
502,0.00517
503,0.514
504,0.0465
505,0.352
506,0.105
507,0.152
508,0.806
509,0.289
510,0.046
511,0.683
512,0.00471
513,0.0907
514,0.0247
515,0.0967
516,0.00543
517,0.00162
518,0.00124
519,0.0251
520,0.311
521,0.232
522,0.0165
523,0.0522
524,0.124
525,0.551
526,0.297
527,0.114
528,0.3
529,0.598
530,0.607
532,0.47
533,0.371
534,0.131
535,0.428
536,0.11
537,0.585
538,0.0209
539,0.217
540,0.186
541,0.0681
542,0.0912
543,0.496
544,0.25
545,0.105
546,0.0413
547,0.685
548,0.556
549,0.474
550,0.321
551,0.405
552,0.0686
553,0.000509
554,0.847
555,0.00215
556,0.721
557,0.00172
558,0.113
559,0.0493
560,0.17
561,0.00115
562,0.659
563,0.00201
564,0.123
565,0.261
566,0.0236
567,0.36
568,0.697
569,0.00402
570,0.819
571,0.191
572,0.173
573,0.242
574,0.0902
575,0.235
576,0.373
577,0.3
578,0.046
579,0.185
580,0.662
581,0.152
582,0.114
583,0.154
584,0.671
585,0.46
586,0.92
587,0.316
588,0.0663
589,0.0889
590,0.334
591,0.0593
592,0.00786
593,0.00559
594,0.0531
595,0.703
596,0.59
597,0.723
598,0.417
599,0.869
600,0.427
601,0.0221
602,0.615
603,0.46
604,0.449
605,0.0317
606,0.00776
607,0.0597
608,0.0213
609,0.418
610,0.183
611,0.437
612,0.191
613,0.0472
614,0.0816
615,0.5
616,0.084
617,0.129
618,0.121
619,0.00161
620,0.164
621,0.189
622,0.0489
623,0.614
624,0.643
625,0.908
626,0.766
627,0.00128
628,0.55
629,0.912
630,0.903
631,0.498
632,0.403
633,0.164
634,0.322
635,0.865
636,0.28
638,0.92
639,0.673
640,0.165
641,0.579
642,0.582
643,0.129
644,0.9
645,0.881
646,0.458
647,0.744
648,0.76
649,0.395
650,0.102
651,0.43
652,0.317
653,0.309
654,0.613
656,0.207
657,0.957
658,0.0215
659,0.169
660,0.738
661,0.0183
662,0.424
663,0.0156
664,0.248
665,0.894
666,0.785
667,0.647
668,0.735
669,0.263
670,0.902
671,0.994
672,0.83
673,0.0982
674,0.888
675,0.882
676,0.362
677,0.464
678,0.108
679,0.0318
680,0.318
681,0.919
682,0.804
683,0.727
684,0.0339
685,0.813
686,0.47
687,0.292
688,0.727
689,0.06
690,0.128
691,0.104
692,0.878
693,0.599
694,0.373
695,0.87
696,0.855
697,0.696
698,0.819
699,0.937
700,0.66
701,0.768
702,0.876
703,0.835
704,0.162
705,0.556
706,0.239
707,0.67
708,0.379
709,0.247
710,0.553
711,0.0947
712,0.972
713,0.365
714,0.537
715,0.605
716,0.0505
717,0.0133
718,0.0631
719,0.158
720,0.000407
721,0.0981
722,0.42
723,0.424
724,0.0103
725,0.0439
726,0.157
727,0.00305
728,0.151
729,0.0464
730,0.139
731,0.166
732,0.505
