Index,Speechiness
1,0.0504
2,0.0483
3,0.154
4,0.0348
5,0.0615
6,0.152
7,0.0286
8,0.0506
9,0.118
10,0.0387
11,0.0601
12,0.106
13,0.0427
14,0.119
15,0.0948
16,0.0338
17,0.112
18,0.0325
19,0.159
20,0.0707
21,0.0673
22,0.208
23,0.0578
24,0.0944
25,0.0598
26,0.133
27,0.0343
28,0.0786
29,0.126
30,0.0913
31,0.0324
32,0.103
33,0.0364
34,0.046
35,0.0465
37,0.242
38,0.0565
39,0.0398
40,0.0544
41,0.0674
42,0.116
43,0.0846
44,0.0993
45,0.232
46,0.102
47,0.0361
48,0.0455
49,0.0473
50,0.0367
51,0.153
52,0.0293
53,0.0713
54,0.0699
55,0.0403
56,0.0466
57,0.0564
58,0.224
59,0.027
60,0.0381
61,0.0898
62,0.112
63,0.0599
64,0.0325
65,0.0791
66,0.083
67,0.0674
68,0.0336
69,0.223
70,0.0319
71,0.117
72,0.187
73,0.125
74,0.0494
75,0.0265
76,0.0669
77,0.0502
78,0.0437
79,0.06
80,0.0924
81,0.0299
82,0.286
83,0.0361
84,0.0339
85,0.0379
86,0.0662
87,0.0341
88,0.0625
89,0.319
90,0.0441
91,0.148
92,0.0878
93,0.0395
94,0.102
95,0.0777
96,0.0459
97,0.0854
98,0.0563
99,0.258
100,0.0573
101,0.0601
102,0.0363
103,0.0825
104,0.128
105,0.079
106,0.0301
107,0.0474
108,0.127
109,0.187
110,0.0996
111,0.0333
112,0.0466
113,0.0648
114,0.0842
115,0.0295
116,0.0887
117,0.0802
118,0.0287
119,0.0413
120,0.0232
121,0.0475
122,0.286
123,0.164
124,0.0333
125,0.05
126,0.0433
127,0.0379
128,0.0564
129,0.0898
130,0.0329
131,0.0449
132,0.121
133,0.0557
134,0.04
135,0.0551
136,0.0464
137,0.0312
138,0.0308
139,0.269
140,0.312
141,0.0709
142,0.0536
143,0.0887
144,0.0401
145,0.0379
146,0.135
147,0.0477
148,0.0308
149,0.226
150,0.0424
151,0.0382
152,0.0281
153,0.142
154,0.0322
155,0.0523
156,0.0393
157,0.0395
158,0.353
159,0.0356
160,0.322
161,0.457
162,0.2
163,0.0539
165,0.375
166,0.135
167,0.2
168,0.102
169,0.375
170,0.0808
171,0.0348
172,0.0276
173,0.059
174,0.146
175,0.101
176,0.103
177,0.135
178,0.0423
179,0.162
180,0.0536
181,0.0483
182,0.0351
183,0.0574
184,0.0548
185,0.0322
186,0.253
187,0.351
188,0.136
189,0.0515
190,0.0583
191,0.0484
192,0.0747
193,0.334
194,0.287
195,0.0443
196,0.218
197,0.051
198,0.41
199,0.312
200,0.0572
201,0.332
202,0.0765
203,0.465
204,0.188
205,0.2
206,0.0878
207,0.0414
208,0.351
209,0.0466
210,0.101
211,0.357
212,0.355
213,0.333
214,0.0458
215,0.0874
216,0.241
217,0.0266
218,0.0288
219,0.0877
220,0.0623
221,0.0521
222,0.0544
223,0.0424
224,0.0398
225,0.0715
226,0.0524
227,0.0644
228,0.0439
229,0.0624
230,0.36
231,0.0509
232,0.0636
233,0.0518
234,0.1
235,0.112
236,0.0338
237,0.0406
238,0.0581
239,0.0966
240,0.0505
241,0.366
242,0.0394
243,0.286
244,0.42
245,0.1
246,0.0801
247,0.329
248,0.125
249,0.0565
250,0.0452
251,0.0976
252,0.209
253,0.111
254,0.0554
255,0.0323
256,0.564
257,0.212
258,0.402
259,0.337
260,0.0722
261,0.154
262,0.438
263,0.13
264,0.391
265,0.162
266,0.323
267,0.0733
268,0.197
269,0.116
270,0.0499
271,0.0374
272,0.322
273,0.0545
274,0.0803
275,0.0846
276,0.0572
277,0.0588
278,0.311
279,0.425
280,0.137
281,0.242
282,0.302
283,0.0559
284,0.0475
285,0.0786
286,0.0345
287,0.0434
288,0.0432
289,0.0317
290,0.0884
291,0.134
292,0.0359
293,0.288
294,0.0584
295,0.33
296,0.222
297,0.0317
298,0.0367
299,0.102
300,0.209
301,0.411
302,0.16
303,0.135
304,0.07
305,0.235
306,0.191
307,0.201
308,0.279
309,0.0697
310,0.0591
311,0.061
312,0.0449
313,0.054
314,0.458
315,0.0397
316,0.337
317,0.0355
318,0.337
319,0.079
320,0.187
321,0.332
322,0.2
323,0.0648
324,0.0557
325,0.0995
326,0.152
327,0.0795
328,0.274
329,0.0498
330,0.307
331,0.036
332,0.0965
333,0.363
334,0.342
335,0.0383
336,0.037
337,0.36
338,0.227
339,0.106
340,0.0753
341,0.134
342,0.0631
343,0.0316
344,0.0344
345,0.397
346,0.168
347,0.105
348,0.0642
349,0.152
350,0.277
351,0.0485
352,0.293
353,0.0491
354,0.033
355,0.279
356,0.0631
357,0.0391
358,0.0394
359,0.311
360,0.0822
361,0.378
362,0.346
363,0.0702
364,0.137
365,0.0292
366,0.162
367,0.0731
368,0.0311
369,0.0299
370,0.047
371,0.107
372,0.0987
373,0.0398
374,0.12
375,0.129
376,0.0691
377,0.357
378,0.0994
379,0.0461
380,0.257
381,0.164
382,0.0349
383,0.481
384,0.153
385,0.128
386,0.0725
387,0.0305
388,0.124
389,0.0657
390,0.0457
391,0.126
392,0.124
393,0.342
394,0.0521
395,0.261
396,0.172
397,0.0443
398,0.11
399,0.0521
400,0.0627
401,0.164
402,0.0262
403,0.384
404,0.163
405,0.166
406,0.038
407,0.0504
408,0.0379
409,0.0538
410,0.0536
411,0.0365
412,0.0516
413,0.0346
414,0.145
415,0.0532
416,0.0767
417,0.0434
418,0.0482
419,0.141
420,0.221
421,0.303
422,0.031
423,0.0768
424,0.0526
425,0.17
426,0.0368
427,0.0299
428,0.317
429,0.0346
430,0.0282
431,0.183
432,0.0272
433,0.0484
434,0.0377
435,0.0296
436,0.0486
437,0.0447
438,0.0287
439,0.302
440,0.0365
441,0.0628
442,0.0285
443,0.157
444,0.0959
445,0.0503
446,0.0263
447,0.0424
448,0.0427
449,0.0375
450,0.0399
451,0.107
452,0.362
453,0.041
454,0.0288
455,0.0418
456,0.0728
457,0.102
458,0.0549
459,0.0394
460,0.0478
461,0.0332
462,0.26
463,0.054
464,0.0379
466,0.0873
467,0.0771
468,0.0456
469,0.298
470,0.0427
471,0.0852
472,0.0476
473,0.345
474,0.102
475,0.0642
476,0.0318
477,0.276
478,0.164
479,0.0589
480,0.06
481,0.0259
482,0.0351
483,0.066
484,0.0643
485,0.229
486,0.125
487,0.0543
488,0.189
489,0.0948
490,0.315
491,0.0426
492,0.102
493,0.0331
494,0.0794
495,0.136
496,0.0426
497,0.159
498,0.0603
499,0.0284
500,0.118
501,0.368
502,0.042
503,0.027
504,0.0812
505,0.308
506,0.0667
507,0.177
508,0.0279
509,0.0414
510,0.102
511,0.0742
512,0.163
513,0.0664
514,0.193
515,0.0616
516,0.0533
517,0.0435
518,0.0299
519,0.0454
520,0.229
521,0.077
522,0.105
523,0.148
524,0.0712
525,0.0484
526,0.0705
527,0.37
528,0.0575
529,0.039
530,0.0476
532,0.113
533,0.397
534,0.0581
535,0.0335
536,0.136
537,0.0305
538,0.0366
539,0.0685
540,0.0614
541,0.0652
542,0.0442
543,0.195
544,0.405
545,0.312
546,0.156
547,0.0346
548,0.0804
549,0.0295
550,0.201
551,0.0348
552,0.0892
553,0.0406
554,0.133
555,0.0533
556,0.0777
557,0.072
558,0.0425
559,0.0522
560,0.0356
561,0.0346
562,0.0902
563,0.0595
564,0.0879
565,0.249
566,0.15
567,0.0555
568,0.0362
569,0.359
570,0.214
571,0.349
572,0.252
573,0.116
574,0.0328
575,0.133
576,0.0318
577,0.207
578,0.102
579,0.0572
580,0.0287
581,0.2
582,0.0719
583,0.0423
584,0.101
585,0.241
586,0.0377
587,0.145
588,0.12
589,0.0402
590,0.0796
591,0.213
592,0.0405
593,0.0664
594,0.0623
595,0.445
596,0.031
597,0.0248
598,0.0328
599,0.0838
600,0.154
601,0.104
602,0.0462
603,0.0294
604,0.0858
605,0.365
606,0.0457
607,0.181
608,0.386
609,0.0264
610,0.0578
611,0.0646
612,0.0452
613,0.16
614,0.0695
615,0.0629
616,0.0531
617,0.0415
618,0.102
619,0.115
620,0.0384
621,0.0293
622,0.116
623,0.0502
624,0.0363
625,0.0375
626,0.0369
627,0.0537
628,0.0383
629,0.0351
630,0.0595
631,0.0467
632,0.0287
633,0.0363
634,0.0319
635,0.0428
636,0.0324
638,0.0341
639,0.0381
640,0.141
641,0.0303
642,0.0457
643,0.0369
644,0.0425
645,0.185
646,0.0341
647,0.0435
648,0.0599
649,0.053
650,0.0363
651,0.124
652,0.0325
653,0.0509
654,0.0312
656,0.0327
657,0.0414
658,0.12
659,0.0268
660,0.0366
661,0.102
662,0.0458
663,0.04
664,0.27
665,0.032
666,0.0517
667,0.0649
668,0.0312
669,0.0538
670,0.0607
671,0.0448
672,0.0408
673,0.0323
674,0.0366
675,0.0571
676,0.0479
677,0.0362
678,0.0328
679,0.0601
680,0.0257
681,0.0332
682,0.0404
683,0.0498
684,0.115
685,0.0276
686,0.0331
687,0.0376
688,0.0319
689,0.0331
690,0.128
691,0.0463
692,0.0488
693,0.0421
694,0.195
695,0.0376
696,0.0353
697,0.0264
698,0.0617
699,0.0308
700,0.0417
701,0.0347
702,0.0484
703,0.245
704,0.0889
705,0.0708
706,0.0866
707,0.0679
708,0.0558
709,0.0381
710,0.0316
711,0.0474
712,0.632
713,0.0314
714,0.0424
715,0.133
716,0.0807
717,0.0618
718,0.26
719,0.0416
720,0.324
721,0.0313
722,0.0415
723,0.0486
724,0.379
725,0.0389
726,0.0944
727,0.0334
728,0.0366
729,0.249
730,0.0652
731,0.0582
732,0.0577
733,0.0851
734,0.0676
735,0.0281
736,0.0319
737,0.212
738,0.0428
739,0.132
740,0.0465
741,0.0341
742,0.0406
743,0.0652
744,0.088
745,0.884
746,0.0532
747,0.0344
748,0.031
749,0.137
750,0.0505
752,0.174
753,0.158
754,0.113
755,0.133
756,0.0414
757,0.0868
758,0.0503
759,0.0366
760,0.202
761,0.0287
762,0.0259
763,0.187
764,0.0582
765,0.0622
766,0.342
767,0.0726
768,0.032
769,0.194
770,0.217
771,0.108
772,0.0981
773,0.0419
774,0.057
775,0.101
776,0.358
777,0.0506
778,0.0432
779,0.165
780,0.117
781,0.111
782,0.188
783,0.103
784,0.0253
786,0.0261
787,0.211
788,0.0979
789,0.061
790,0.0404
791,0.0312
792,0.139
793,0.116
794,0.0325
795,0.101
796,0.139
797,0.304
798,0.19
799,0.0374
800,0.106
801,0.187
802,0.0598
803,0.0376
804,0.117
805,0.0539
806,0.208
807,0.199
808,0.0744
809,0.0656
810,0.0915
811,0.0262
812,0.133
813,0.082
814,0.0736
815,0.0959
816,0.277
817,0.162
818,0.0867
819,0.0658
820,0.0473
821,0.0783
822,0.0649
823,0.0514
824,0.0735
825,0.0688
826,0.0475
