Index,Danceability
1,0.714
2,0.591
3,0.563
4,0.808
5,0.736
6,0.61
7,0.762
8,0.78
9,0.644
10,0.75
11,0.702
12,0.891
13,0.702
14,0.677
15,0.759
16,0.38
17,0.442
18,0.65
19,0.743
20,0.664
21,0.659
22,0.855
23,0.561
24,0.761
25,0.514
26,0.395
27,0.762
28,0.797
29,0.824
30,0.778
31,0.586
32,0.666
33,0.369
34,0.715
35,0.548
37,0.789
38,0.828
39,0.816
40,0.731
41,0.85
42,0.695
43,0.813
44,0.746
45,0.798
46,0.595
47,0.701
48,0.729
49,0.839
50,0.855
51,0.627
52,0.75
53,0.765
54,0.83
55,0.721
56,0.345
57,0.668
58,0.54
59,0.713
60,0.682
61,0.95
62,0.669
63,0.672
64,0.65
65,0.449
66,0.793
67,0.708
68,0.612
69,0.762
70,0.501
71,0.833
72,0.829
73,0.635
74,0.77
75,0.727
76,0.625
77,0.653
78,0.727
79,0.849
80,0.824
81,0.662
82,0.578
83,0.694
84,0.659
85,0.841
86,0.734
87,0.671
88,0.862
89,0.797
90,0.45
91,0.818
92,0.737
93,0.695
94,0.819
95,0.908
96,0.915
97,0.824
98,0.39
99,0.871
100,0.459
101,0.702
102,0.386
103,0.769
104,0.776
105,0.799
106,0.523
107,0.769
108,0.786
109,0.93
110,0.57
111,0.351
112,0.76
113,0.663
114,0.749
115,0.733
116,0.526
117,0.825
118,0.759
119,0.658
120,0.599
121,0.818
122,0.856
123,0.746
124,0.357
125,0.667
126,0.527
127,0.484
128,0.502
129,0.638
130,0.588
131,0.682
132,0.584
133,0.775
134,0.445
135,0.558
136,0.566
137,0.689
138,0.774
139,0.868
140,0.766
141,0.39
142,0.392
143,0.713
144,0.632
145,0.841
146,0.734
147,0.871
148,0.572
149,0.672
150,0.631
151,0.664
152,0.429
153,0.843
154,0.667
155,0.532
156,0.65
157,0.808
158,0.709
159,0.521
160,0.933
161,0.902
162,0.511
163,0.907
165,0.701
166,0.476
167,0.823
168,0.473
169,0.935
170,0.356
171,0.82
172,0.828
173,0.358
174,0.74
175,0.716
176,0.675
177,0.726
178,0.595
179,0.933
180,0.792
181,0.676
182,0.422
183,0.649
184,0.765
185,0.422
186,0.832
187,0.548
188,0.84
189,0.585
190,0.436
191,0.638
192,0.592
193,0.778
194,0.571
195,0.525
196,0.789
197,0.43
198,0.643
199,0.961
200,0.949
201,0.662
202,0.563
203,0.437
204,0.628
205,0.912
206,0.356
207,0.441
208,0.723
209,0.493
210,0.787
211,0.883
212,0.654
213,0.83
214,0.477
215,0.88
216,0.671
217,0.741
218,0.626
219,0.601
220,0.792
221,0.542
222,0.722
223,0.566
224,0.816
