Index,Liveness
1,0.359
2,0.103
3,0.0849
4,0.364
5,0.0501
6,0.384
7,0.123
8,0.0932
9,0.135
10,0.178
11,0.0674
12,0.173
13,0.337
14,0.42
15,0.0906
16,0.12
17,0.37
18,0.0936
19,0.0764
20,0.0926
21,0.113
22,0.347
23,0.106
24,0.0921
25,0.0897
26,0.0839
27,0.128
28,0.0998
29,0.303
30,0.15
31,0.0927
32,0.0442
33,0.147
34,0.0948
35,0.335
37,0.129
38,0.0845
39,0.292
40,0.113
41,0.286
42,0.0614
43,0.377
44,0.0936
45,0.112
46,0.0608
47,0.324
48,0.137
49,0.118
50,0.347
51,0.145
52,0.0743
53,0.112
54,0.0353
55,0.118
56,0.0511
57,0.257
58,0.12
59,0.154
60,0.148
61,0.173
62,0.115
63,0.28
64,0.0936
65,0.303
66,0.0951
67,0.107
68,0.101
69,0.15
70,0.105
71,0.119
72,0.12
73,0.108
74,0.0894
75,0.0861
76,0.424
77,0.203
78,0.122
79,0.112
80,0.149
81,0.134
82,0.119
83,0.139
84,0.1
85,0.124
86,0.0489
87,0.333
88,0.077
89,0.144
90,0.135
91,0.172
92,0.0931
93,0.0863
94,0.252
95,0.278
96,0.0942
97,0.117
98,0.156
99,0.0869
100,0.0885
101,0.0674
102,0.14
103,0.0781
104,0.081
105,0.111
106,0.106
107,0.359
108,0.299
109,0.239
110,0.0654
111,0.095
112,0.0703
113,0.249
114,0.338
115,0.287
116,0.0891
117,0.0931
118,0.0945
119,0.132
120,0.106
121,0.234
122,0.0866
123,0.101
124,0.322
125,0.0906
126,0.249
127,0.151
128,0.106
129,0.219
130,0.123
131,0.0946
132,0.847
133,0.0821
134,0.0941
135,0.146
136,0.116
137,0.105
138,0.243
139,0.0461
140,0.142
141,0.184
142,0.243
143,0.0962
144,0.209
145,0.124
146,0.0901
147,0.094
148,0.231
149,0.398
150,0.215
151,0.115
152,0.234
153,0.0984
154,0.332
155,0.161
156,0.92
157,0.138
158,0.133
159,0.103
160,0.161
161,0.0728
162,0.34
163,0.135
165,0.1
166,0.0785
167,0.193
168,0.126
169,0.0824
170,0.0953
171,0.0714
172,0.128
173,0.0902
174,0.104
175,0.13
176,0.11
177,0.696
178,0.172
179,0.163
180,0.329
181,0.102
182,0.35
183,0.317
184,0.112
185,0.132
186,0.165
187,0.408
188,0.0684
189,0.135
190,0.688
191,0.308
192,0.13
193,0.0881
194,0.0809
195,0.0922
196,0.129
197,0.0933
198,0.138
199,0.145
200,0.0454
201,0.349
202,0.0972
203,0.153
204,0.152
205,0.0795
206,0.101
207,0.14
208,0.261
209,0.511
210,0.112
211,0.0678
212,0.655
213,0.0916
214,0.137
215,0.106
216,0.0577
217,0.103
218,0.109
219,0.0882
220,0.12
221,0.496
222,0.183
223,0.37
224,0.292
225,0.0966
226,0.278
227,0.103
228,0.112
229,0.0674
230,0.318
231,0.273
232,0.0977
233,0.0701
234,0.163
235,0.0856
236,0.111
237,0.187
238,0.0906
239,0.154
240,0.107
241,0.166
242,0.0664
243,0.108
244,0.0584
245,0.32
246,0.233
247,0.0795
248,0.127
249,0.19
250,0.0761
251,0.267
252,0.123
253,0.131
254,0.271
255,0.217
256,0.527
257,0.535
258,0.482
259,0.122
260,0.55
261,0.844
262,0.301
263,0.219
264,0.167
265,0.0894
266,0.182
267,0.195
268,0.131
269,0.0945
270,0.13
271,0.377
272,0.0273
273,0.173
274,0.269
275,0.377
276,0.103
277,0.0833
278,0.252
279,0.0986
280,0.214
281,0.297
282,0.0825
283,0.79
284,0.0673
285,0.0862
286,0.113
287,0.141
288,0.0876
289,0.21
290,0.349
291,0.107
292,0.17
293,0.649
294,0.209
295,0.0565
296,0.124
297,0.164
298,0.0647
299,0.152
300,0.103
301,0.0856
302,0.064
303,0.0833
304,0.121
305,0.0675
306,0.0655
307,0.103
308,0.101
309,0.055
310,0.118
311,0.338
312,0.261
313,0.112
314,0.11
315,0.323
316,0.14
317,0.0571
318,0.14
319,0.0663
320,0.617
321,0.309
322,0.141
323,0.349
324,0.131
325,0.324
326,0.103
327,0.101
328,0.113
329,0.104
330,0.0856
331,0.106
332,0.192
333,0.0626
334,0.292
335,0.132
336,0.0992
337,0.0898
338,0.101
339,0.104
340,0.142
341,0.331
342,0.298
343,0.238
344,0.0436
345,0.727
346,0.38
347,0.274
348,0.105
349,0.0948
350,0.196
351,0.162
352,0.093
353,0.344
354,0.158
355,0.15
356,0.107
357,0.0926
358,0.249
359,0.312
360,0.312
361,0.171
362,0.353
363,0.213
364,0.214
365,0.0956
366,0.0992
367,0.282
368,0.103
369,0.089
370,0.0613
371,0.271
372,0.0327
373,0.116
374,0.255
375,0.109
376,0.647
377,0.0678
378,0.106
379,0.17
380,0.0915
381,0.0832
382,0.131
383,0.152
384,0.0931
385,0.267
386,0.109
387,0.155
388,0.226
389,0.158
390,0.153
391,0.4
392,0.0975
393,0.0895
394,0.214
395,0.134
396,0.169
397,0.219
398,0.131
399,0.0667
400,0.0895
401,0.145
402,0.101
403,0.126
404,0.109
405,0.143
406,0.0975
407,0.112
408,0.124
409,0.11
410,0.472
411,0.0726
412,0.0828
413,0.0736
414,0.123
415,0.375
416,0.385
417,0.088
418,0.295
419,0.0602
420,0.0398
421,0.0895
422,0.0845
423,0.0703
424,0.133
425,0.145
426,0.104
427,0.328
428,0.108
429,0.0885
430,0.333
431,0.0719
432,0.32
433,0.108
434,0.101
435,0.0934
436,0.177
437,0.143
438,0.228
439,0.201
440,0.092
441,0.333
442,0.123
443,0.16
444,0.284
445,0.109
446,0.0779
447,0.111
448,0.11
449,0.0768
450,0.121
451,0.282
452,0.325
453,0.0876
454,0.112
455,0.382
456,0.422
457,0.0773
458,0.192
459,0.37
460,0.415
461,0.104
462,0.185
463,0.0928
464,0.0604
466,0.0874
467,0.112
468,0.353
469,0.0574
470,0.241
471,0.113
472,0.059
473,0.171
474,0.0773
475,0.23
476,0.0847
477,0.137
478,0.0866
479,0.34
480,0.16
481,0.298
482,0.0879
483,0.106
484,0.113
485,0.11
486,0.11
487,0.041
488,0.315
489,0.0822
490,0.07
491,0.307
492,0.0994
493,0.0928
494,0.0927
495,0.108
496,0.151
497,0.0904
498,0.146
499,0.167
500,0.0679
501,0.0848
502,0.254
503,0.1
504,0.0601
505,0.0657
506,0.157
507,0.252
508,0.112
509,0.125
510,0.092
511,0.118
512,0.0971
513,0.266
514,0.121
515,0.115
516,0.26
517,0.354
518,0.302
519,0.124
520,0.0998
521,0.115
522,0.0693
523,0.46
524,0.131
525,0.134
526,0.0936
527,0.0931
528,0.102
529,0.231
530,0.0986
532,0.0824
533,0.854
534,0.149
535,0.0567
536,0.247
537,0.156
538,0.169
539,0.217
540,0.123
541,0.166
542,0.0894
543,0.106
544,0.0691
545,0.142
546,0.0521
547,0.146
548,0.102
549,0.184
550,0.114
551,0.0771
552,0.393
553,0.187
554,0.112
555,0.138
556,0.0668
557,0.114
558,0.105
559,0.119
560,0.307
561,0.203
562,0.124
563,0.387
564,0.411
565,0.121
566,0.156
567,0.1
568,0.0813
569,0.219
570,0.146
571,0.125
572,0.144
573,0.105
574,0.0912
575,0.372
576,0.126
577,0.091
578,0.092
579,0.155
580,0.123
581,0.268
582,0.103
583,0.107
584,0.17
585,0.128
586,0.113
587,0.25
588,0.169
589,0.0843
590,0.232
591,0.238
592,0.124
593,0.0873
594,0.153
595,0.102
596,0.112
597,0.101
598,0.125
599,0.0955
600,0.599
601,0.259
602,0.131
603,0.108
604,0.684
605,0.0311
606,0.0541
607,0.106
608,0.0778
609,0.103
610,0.0714
611,0.0628
612,0.167
613,0.77
614,0.0532
615,0.694
616,0.527
617,0.14
618,0.463
619,0.103
620,0.0708
621,0.355
622,0.294
623,0.505
624,0.0652
625,0.341
626,0.117
627,0.214
628,0.336
629,0.175
630,0.362
631,0.0794
632,0.316
633,0.0992
634,0.0672
635,0.0882
636,0.718
638,0.138
639,0.338
640,0.334
641,0.076
642,0.256
643,0.128
644,0.145
645,0.26
646,0.33
647,0.142
648,0.116
649,0.0773
650,0.305
651,0.378
652,0.125
653,0.075
654,0.113
656,0.858
657,0.316
658,0.0475
659,0.195
660,0.266
661,0.0519
662,0.11
663,0.118
664,0.462
665,0.14
666,0.0313
667,0.281
668,0.105
669,0.817
670,0.185
671,0.179
672,0.121
673,0.1
674,0.137
675,0.0513
676,0.727
677,0.344
678,0.0512
679,0.114
680,0.108
681,0.0854
682,0.076
683,0.0977
684,0.0564
685,0.195
686,0.339
687,0.246
688,0.102
689,0.324
690,0.0895
691,0.881
692,0.0797
693,0.0561
694,0.0969
695,0.114
696,0.0921
697,0.129
698,0.142
699,0.111
700,0.0972
701,0.123
702,0.115
703,0.134
704,0.393
705,0.335
706,0.164
707,0.36
708,0.0765
709,0.113
710,0.254
711,0.0804
712,0.882
713,0.117
714,0.25
715,0.12
716,0.0843
717,0.0946
718,0.185
719,0.111
720,0.151
721,0.1
722,0.125
723,0.692
724,0.107
725,0.123
726,0.612
727,0.277
728,0.372
729,0.0994
730,0.0956
731,0.113
732,0.324
733,0.145
734,0.287
735,0.324
736,0.0672
737,0.0718
738,0.123
739,0.0782
740,0.13
741,0.087
742,0.352
743,0.0765
744,0.119
745,0.908
746,0.103
747,0.124
748,0.244
749,0.323
750,0.0607
752,0.112
753,0.0926
754,0.0858
755,0.124
756,0.106
757,0.295
