Index,Liveness
758,0.0946
759,0.0948
760,0.167
761,0.273
762,0.111
763,0.118
764,0.124
765,0.0996
766,0.0927
767,0.126
768,0.323
769,0.301
770,0.144
771,0.0889
772,0.398
773,0.115
774,0.113
775,0.133
776,0.0925
777,0.154
778,0.107
779,0.125
780,0.205
781,0.203
782,0.144
783,0.162
784,0.0933
786,0.191
787,0.224
788,0.307
789,0.0858
790,0.0986
791,0.0946
792,0.182
793,0.2
794,0.243
795,0.107
796,0.204
797,0.133
798,0.095
799,0.144
800,0.155
801,0.0802
802,0.232
803,0.603
804,0.0836
805,0.151
806,0.0749
807,0.0794
808,0.847
809,0.222
810,0.116
811,0.0892
812,0.156
813,0.0863
814,0.0931
815,0.284
816,0.195
817,0.0626
818,0.351
819,0.101
820,0.0823
821,0.093
822,0.0743
823,0.157
824,0.134
825,0.0963
826,0.224
827,0.0755
828,0.0996
829,0.194
830,0.148
831,0.0801
832,0.312
833,0.0643
834,0.102
835,0.32
836,0.115
837,0.323
838,0.344
839,0.117
840,0.102
841,0.0531
842,0.0779
843,0.186
844,0.253
845,0.123
846,0.151
847,0.131
848,0.194
849,0.0892
850,0.0747
851,0.155
852,0.112
853,0.113
854,0.104
855,0.0774
856,0.464
857,0.0972
858,0.0886
859,0.11
860,0.149
861,0.294
862,0.241
863,0.234
864,0.062
865,0.209
866,0.12
867,0.0949
868,0.177
869,0.148
870,0.115
871,0.0976
872,0.372
873,0.319
874,0.0754
875,0.372
876,0.0931
878,0.247
879,0.112
880,0.497
881,0.172
882,0.185
883,0.224
884,0.157
885,0.269
886,0.195
887,0.101
888,0.11
889,0.112
890,0.11
891,0.129
892,0.151
893,0.216
894,0.113
895,0.251
896,0.102
897,0.11
898,0.109
899,0.166
900,0.166
901,0.0965
902,0.0949
903,0.138
904,0.0905
905,0.106
906,0.0877
907,0.118
908,0.105
909,0.202
910,0.109
911,0.174
912,0.127
913,0.615
914,0.0737
915,0.268
916,0.117
917,0.126
918,0.11
919,0.254
920,0.173
921,0.356
922,0.108
923,0.237
924,0.15
925,0.0632
926,0.0723
927,0.117
928,0.18
929,0.196
930,0.154
931,0.108
932,0.489
933,0.124
934,0.132
935,0.0798
936,0.111
937,0.204
938,0.338
939,0.099
940,0.166
941,0.155
942,0.114
943,0.0925
944,0.189
945,0.151
946,0.0787
947,0.105
948,0.124
949,0.109
950,0.208
951,0.0749
952,0.121
953,0.133
954,0.283
955,0.254
956,0.0742
957,0.0801
958,0.105
959,0.131
960,0.129
961,0.108
962,0.101
963,0.084
964,0.0713
965,0.103
966,0.0594
967,0.091
968,0.171
969,0.0976
970,0.0971
971,0.106
972,0.0989
973,0.123
974,0.113
975,0.114
976,0.096
977,0.114
978,0.0858
979,0.0918
980,0.11
981,0.105
982,0.0835
983,0.558
984,0.133
985,0.109
986,0.203
987,0.0695
988,0.129
989,0.0521
990,0.634
991,0.0927
992,0.0877
993,0.115
994,0.106
995,0.167
996,0.0943
997,0.0596
998,0.104
999,0.632
1000,0.114
1001,0.112
1002,0.108
1003,0.244
1004,0.119
1005,0.46
1006,0.175
1007,0.0981
1008,0.086
1009,0.098
1010,0.107
1011,0.142
1012,0.176
1013,0.14
1014,0.0658
1015,0.153
1016,0.181
1017,0.0783
1018,0.11
1019,0.113
1020,0.12
1021,0.0822
1022,0.0781
1023,0.0996
1024,0.116
1025,0.3
1026,0.0967
1027,0.103
1028,0.129
1029,0.0734
1030,0.222
1031,0.545
1032,0.612
1033,0.114
1034,0.304
1035,0.0788
1036,0.537
1037,0.199
1038,0.0874
1039,0.0808
1040,0.385
1041,0.137
1042,0.101
1043,0.115
1044,0.112
1045,0.195
1046,0.139
1047,0.215
1048,0.286
1049,0.253
1050,0.107
1051,0.102
1052,0.0944
1053,0.159
1054,0.134
1055,0.127
1056,0.0935
1057,0.0527
1058,0.147
1059,0.345
1060,0.135
1061,0.447
1062,0.217
1063,0.108
1064,0.073
1065,0.122
1066,0.316
1067,0.214
1068,0.173
1069,0.0377
1070,0.383
1071,0.106
1072,0.104
1073,0.064
1074,0.122
1075,0.427
1076,0.386
1077,0.281
1078,0.165
1079,0.102
1080,0.225
1081,0.141
1082,0.21
1083,0.13
1084,0.0843
1085,0.185
1086,0.268
1087,0.0994
1088,0.0918
1089,0.154
1090,0.119
1091,0.322
1092,0.0768
1093,0.27
1094,0.0621
1095,0.124
1096,0.074
1097,0.176
1098,0.0822
1099,0.15
1100,0.0884
1101,0.372
1102,0.41
1103,0.107
1104,0.114
1105,0.386
1106,0.107
1107,0.558
1108,0.103
1109,0.101
1110,0.227
1111,0.0887
1112,0.124
1113,0.216
1114,0.112
1115,0.23
1116,0.356
1117,0.282
1118,0.354
1119,0.0569
1120,0.659
1121,0.147
1122,0.0773
1123,0.243
1124,0.0646
1125,0.109
1126,0.0984
1127,0.099
1128,0.144
1129,0.0632
1130,0.187
1131,0.14
1132,0.68
1133,0.694
1134,0.944
1135,0.0872
1136,0.527
1137,0.215
1138,0.527
1139,0.474
1140,0.129
1142,0.164
1143,0.152
1144,0.605
1145,0.319
1146,0.111
1147,0.0862
1148,0.103
1149,0.121
1150,0.134
1151,0.0614
1152,0.11
1153,0.146
1154,0.417
1155,0.103
1156,0.121
1157,0.321
1158,0.098
1159,0.0929
1160,0.132
1161,0.109
1162,0.0675
1163,0.439
1164,0.121
1165,0.114
1166,0.284
1167,0.0872
1168,0.629
1169,0.0657
1170,0.565
1171,0.15
1172,0.368
1173,0.139
1174,0.0596
1175,0.962
1176,0.0646
1177,0.134
1178,0.103
1179,0.207
1180,0.1
1181,0.0941
1182,0.107
1183,0.0998
1184,0.106
1185,0.0909
1186,0.13
1187,0.167
1188,0.106
1189,0.155
1190,0.102
1191,0.0982
1192,0.189
1193,0.116
1194,0.099
1195,0.0763
1196,0.0827
1197,0.352
1198,0.182
1199,0.325
1200,0.0703
1201,0.111
1202,0.538
1203,0.605
1204,0.109
1205,0.104
1206,0.424
1207,0.542
1208,0.0768
1209,0.0554
1210,0.107
1211,0.138
1212,0.096
1213,0.552
1214,0.0847
1215,0.0678
1216,0.349
1217,0.277
1218,0.19
1219,0.391
1220,0.116
1221,0.129
1222,0.0819
1223,0.157
1224,0.0927
1225,0.133
1226,0.0665
1227,0.144
1228,0.0921
1229,0.0872
1230,0.115
1231,0.252
1232,0.115
1233,0.154
1234,0.116
1235,0.105
1236,0.319
1237,0.141
1238,0.0721
1239,0.104
1240,0.155
1241,0.309
1242,0.165
1243,0.156
1244,0.098
1245,0.181
1246,0.101
1247,0.141
1248,0.255
1249,0.0539
1250,0.176
1251,0.735
1252,0.204
1253,0.0764
1254,0.26
1255,0.182
1256,0.125
1257,0.0784
1258,0.178
1259,0.286
1260,0.13
1261,0.0931
1262,0.321
1263,0.168
1264,0.0929
1265,0.172
1266,0.098
1267,0.0938
1268,0.0976
1269,0.685
1270,0.469
1271,0.147
1272,0.121
1273,0.199
1274,0.258
1275,0.114
1276,0.107
1277,0.286
1278,0.0738
1279,0.0917
1280,0.093
1281,0.435
1282,0.329
1283,0.131
1284,0.0917
1285,0.432
1286,0.144
1287,0.057
1288,0.224
1289,0.316
1290,0.0916
1291,0.0734
1292,0.112
1293,0.0716
1294,0.303
1295,0.135
1296,0.154
1297,0.123
1298,0.382
1299,0.102
1300,0.138
1301,0.0851
1302,0.0998
1303,0.165
1304,0.12
1305,0.153
1306,0.138
1307,0.568
1308,0.254
1309,0.145
1310,0.0955
1311,0.254
1312,0.127
1313,0.132
1314,0.103
1315,0.0692
1316,0.193
1317,0.104
1318,0.244
1319,0.0928
1320,0.706
1321,0.115
1322,0.104
1323,0.129
1324,0.158
1325,0.179
1326,0.152
1327,0.0914
1328,0.923
1329,0.785
1330,0.135
1331,0.33
1332,0.148
1333,0.204
1334,0.105
1335,0.413
1336,0.196
1337,0.425
1338,0.315
1339,0.372
1340,0.244
1341,0.108
1342,0.0979
1343,0.0934
1344,0.119
1345,0.242
1346,0.0996
1347,0.324
1348,0.1
1349,0.253
1350,0.0865
1351,0.196
1352,0.0618
1353,0.101
1354,0.103
1355,0.107
1356,0.172
1357,0.155
1358,0.0986
1359,0.146
1360,0.122
1361,0.121
1362,0.272
1363,0.179
1364,0.246
1365,0.12
1366,0.231
1367,0.253
1368,0.123
1369,0.122
1370,0.0925
1371,0.0883
1372,0.175
1373,0.0754
1374,0.362
1375,0.0637
1376,0.231
1377,0.437
1378,0.137
1379,0.123
1380,0.106
1381,0.0904
1382,0.0509
1383,0.11
1384,0.0536
1385,0.108
1386,0.0808
1387,0.191
1388,0.0993
1389,0.181
1390,0.287
1391,0.306
1392,0.367
1393,0.359
1394,0.177
1395,0.223
1396,0.0733
1397,0.143
1398,0.0726
1399,0.123
1400,0.109
1401,0.109
1402,0.103
1403,0.0923
1404,0.0971
1405,0.0749
1406,0.212
1407,0.107
1408,0.095
1409,0.0869
1410,0.129
1411,0.172
1412,0.12
1413,0.151
1414,0.217
1415,0.127
1416,0.0824
1417,0.104
1418,0.0963
1419,0.279
1420,0.12
1421,0.246
1422,0.119
1423,0.284
1424,0.112
1425,0.752
1426,0.0714
1427,0.0995
1428,0.196
1429,0.148
1430,0.169
1431,0.102
1432,0.238
1433,0.0743
1434,0.171
1435,0.0992
1436,0.735
1437,0.41
1438,0.107
1439,0.143
1440,0.0809
1441,0.795
1442,0.136
1443,0.102
1444,0.0854
1445,0.127
1446,0.0501
1447,0.0645
1448,0.23
1449,0.0599
1450,0.0806
1451,0.111
1452,0.0574
1453,0.271
1454,0.0602
1455,0.106
1456,0.153
1457,0.0919
1458,0.111
1459,0.0914
1460,0.187
1461,0.181
1462,0.119
1463,0.0862
1464,0.405
1465,0.319
1466,0.252
1467,0.118
1468,0.123
1469,0.116
1470,0.132
1471,0.0924
1472,0.643
1473,0.597
1474,0.0694
1475,0.923
1476,0.394
1477,0.0754
1478,0.254
1479,0.183
1480,0.131
1481,0.359
1482,0.104
1483,0.143
1484,0.091
1485,0.105
1486,0.202
1487,0.382
1488,0.0996
1489,0.064
1490,0.588
1491,0.0703
1492,0.0796
1493,0.385
1494,0.321
1495,0.11
1496,0.486
1497,0.111
1498,0.257
1499,0.113
1500,0.279
1501,0.0451
1502,0.272
1503,0.113
1504,0.15
1505,0.33
1506,0.124
1507,0.129
1508,0.159
1509,0.0851
1510,0.306
1511,0.156
1512,0.192
1513,0.0738
1514,0.103
1515,0.111
1516,0.102
1517,0.395
1518,0.138
1519,0.215
1520,0.108
1521,0.126
1522,0.147
1523,0.338
1524,0.135
1525,0.265
1526,0.0793
1527,0.149
1528,0.143
1529,0.091
1530,0.183
1531,0.137
1532,0.0642
1533,0.101
1534,0.353
1535,0.129
1536,0.115
1537,0.0828
1538,0.132
1540,0.193
1541,0.316
1542,0.0814
1543,0.0884
1544,0.137
1545,0.163
1546,0.163
1547,0.111
1548,0.0197
1549,0.113
1550,0.418
1551,0.168
1552,0.153
1553,0.333
1554,0.132
1555,0.182
1556,0.0862
