Index,Loudness
1,-4.808
2,-5.484
3,-5.044
4,-3.712
5,-7.409
6,-6.682
7,-3.541
8,-3.605
9,-4.601
10,-4.008
11,-3.787
12,-3.964
13,-5.33
14,-6.181
15,-5.187
16,-7.885
17,-7.222
18,-4.645
19,-5.015
20,-6.509
21,-4.649
22,-4.601
23,-8.81
24,-6.9
25,-5.934
26,-9.72
27,-3.955
28,-3.818
29,-3.424
30,-6.865
31,-7.964
32,-6.967
33,-10.497
34,-5.102
35,-4.209
37,-6.862
38,-6.414
39,-3.728
40,-10.059
41,-4.522
42,-6.334
43,-5.382
44,-4.41
45,-7.079
46,-4.878
47,-3.671
48,-6.345
49,-4.733
50,-7.454
51,-3.167
52,-7.018
53,-9.921
54,-6.985
55,-4.77
56,-9.918
57,-4.404
58,-5.988
59,-5.483
60,-8.173
61,-3.424
62,-5.603
63,-6.446
64,-4.645
65,-8.964
66,-4.521
67,-4.687
68,-2.81
69,-2.758
70,-5.679
71,-5.196
72,-5.865
73,-3.224
74,-2.981
75,-7.114
76,-3.115
77,-9.016
78,-4.572
79,-4.407
80,-6.4
81,-7.357
82,-6.349
83,-5.307
84,-4.668
85,-7.846
86,-3.158
87,-4.593
88,-5.356
89,-7.85
90,-12.603
91,-7.542
92,-4.771
93,-3.497
94,-4.899
95,-2.749
96,-3.126
97,-4.175
98,-5.201
99,-6.549
100,-4.858
101,-3.787
102,-6.642
103,-2.088
104,-4.374
105,-6.153
106,-4.754
107,-5.472
108,-0.515
109,-4.632
110,-5.748
111,-10.109
112,-5.574
113,-11.177
114,-8.433
115,-3.597
116,-4.662
117,-3.183
118,-6.039
119,-5.797
120,-6.312
121,-4.425
122,-4.892
123,-7.956
124,-7.301
125,-9.389
126,-5.298
127,-6.694
128,-4.556
129,-10.706
130,-9.461
131,-4.163
132,-5.616
133,-7.241
134,-8.532
135,-5.335
136,-5.303
137,-4.48
138,-4.227
139,-6.044
140,-3.128
141,-9.575
142,-9.961
143,-4.637
144,-7.644
145,-7.846
146,-4.578
147,-4.439
148,-6.362
149,-7.476
150,-1.891
151,-4.972
152,-7.227
153,-6.658
154,-4.402
155,-5.697
156,-3.825
157,-6.237
158,-8.493
159,-10.34
160,-5.85
161,-5.049
162,-7.23
163,-7.636
165,-10.965
166,-6.879
167,-6.606
168,-12.627
169,-7.509
170,-3.74
171,-9.796
172,-9.744
173,-7.398
174,-6.744
175,-6.995
176,-6.934
177,-8.765
178,-4.245
179,-6.472
180,-5.609
181,-3.675
182,-6.836
183,-6.487
184,-3.599
185,-7.064
186,-7.813
187,-5.732
188,-4.12
189,-7.063
190,-8.37
191,-3.639
192,-10.618
193,-10.732
194,-5.16
195,-4.075
196,-5.652
197,-8.56
198,-11.254
199,-8.605
200,-4.244
201,-8.302
202,-7.226
203,-6.967
204,-8.377
205,-7.476
206,-7.347
207,-7.331
208,-7.524
209,-5.666
210,-10.569
211,-8.043
212,-6.59
213,-6.416
214,-4.87
215,-4.258
216,-8.494
217,-9.184
218,-5.82
219,-7.791
220,-5.218
221,-5.956
222,-5.932
223,-5.733
224,-3.728
225,-7.132
226,-6.139
227,-12.181
228,-4.628
229,-1.992
230,-5.301
231,-5.684
232,-4.039
233,-3.612
234,-5.757
235,-3.286
236,-5.599
237,-4.097
238,-3.751
